product_id,name,productcode,description,isactive,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,family,externaldatasourceid,externalid,displayurl,quantityunitofmeasure,isdeleted,isarchived,stockkeepingunit,type,productclass,sourceproductid,sellerid
01tHp000009xIesIAE,GenWatt Diesel 1000kW,GC1060,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIetIAE,GenWatt Diesel 200kW,GC1040,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIeuIAE,GenWatt Diesel 10kW,GC1020,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIevIAE,Installation: Industrial - High,IN7080,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIewIAE,SLA: Silver,SL9040,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIexIAE,GenWatt Propane 500kW,GC3040,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIeyIAE,SLA: Platinum,SL9080,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIezIAE,GenWatt Propane 100kW,GC3020,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf0IAE,GenWatt Propane 1500kW,GC3060,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf1IAE,SLA: Bronze,SL9020,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf2IAE,GenWatt Gasoline 750kW,GC5040,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf3IAE,Installation: Portable,IN7020,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf4IAE,SLA: Gold,SL9060,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf5IAE,GenWatt Gasoline 300kW,GC5020,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf6IAE,Installation: Industrial - Low,IN7040,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf7IAE,GenWatt Gasoline 2000kW,GC5060,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
01tHp000009xIf8IAE,Installation: Industrial - Medium,IN7060,,1,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,0,0,,,Simple,,
